state_cd,route_cd,discontinued,DC_year,new_route_cd,replacement_route,replacement_year,original_route_cd,Flag,DC_reason
50,0047,NO,,,NO,,,,
50,0048,NO,,,NO,,,,
50,0049,NO,,,NO,,,,
50,0050,NO,,,NO,,,,
50,0051,NO,,,NO,,,,
50,0052,YES,2021,144,NO,,,,"safety, suspicious activity on the road and known drug/illegal activity at the residences in that stretch of the route."
50,0053,NO,,,NO,,,,
50,0054,NO,,,NO,,,,
50,0055,NO,,,NO,,,,
50,0056,YES,1973,137,NO,,,,
50,0057,YES,1984,130,NO,,,,
50,0058,NO,,,NO,,,,
50,0059,NO,,,NO,,,,
50,0060,NO,,,NO,,,,
50,0061,YES,2013,138,NO,,,,
50,0062,NO,,,NO,,,,
50,0063,NO,,,NO,,,,
50,0064,NO,,,NO,,,,
50,0065,NO,,,NO,,,,
50,0066,NO,,,NO,,,,
50,0067,NO,,,NO,,,,
50,0068,NO,,,NO,,,,
50,0069,NO,,,NO,,,,
50,0070,NO,,,NO,,,,
50,0071,NO,,,NO,,,,
50,0072,NO,,,NO,,,,
50,0073,NO,,,NO,,,,
50,0074,NO,,,NO,,,,
50,0075,NO,,,NO,,,,
50,0076,NO,,,NO,,,,
50,0077,NO,,,NO,,,,
50,0078,NO,,,NO,,,,
50,0079,NO,,,NO,,,,
50,0080,NO,,,NO,,,,
50,0081,YES,1974,136,NO,,,,
50,0082,YES,1976,128,NO,,,,May 1-20 survey window
50,0083,NO,,,NO,,,,
50,0084,NO,,,NO,,,,
50,0085,NO,,,NO,,,,
50,0086,NO,,,NO,,,,
50,0087,NO,,,NO,,,,
50,0088,YES,1996,,NO,,,"Active from 1970-1995, but no mention of it being DC on route map.  It was in a reactivated CZ status when it got dropped from the route table.  It was supposed to be run in 1996 and obviously wasn't.  Replacement route never created-BR",Apr 25-May 15 survey window
50,0089,NO,,,NO,,,,
50,0090,YES,2004,140,NO,,,,
50,0091,NO,,,NO,,,,
